domain,page_id,surface,current_state,current_evidence,target_sprint,release_gate,p2_owner_sprint,p2_target_route,p2_disposition,p2_evidence
Home,command,Command Center,live_partial,index.html; app.html; output/qa-command-center-preview.html,2,responsive+tenant+auth+e2e,P2-S1,app.html,implement,P2-S1 maps command to app.html under the approved Platform55 shell migration design
Home,mywork,My Work,prototype_only,No first-class My Work surface found in main,2,responsive+tenant+auth+e2e,P2-S1,app.html,implement,P2-S1 maps mywork to app.html under the approved Platform55 shell migration design
Home,notify,Notifications,foundation_partial,google-chat-app; whatsapp-webhook,2,no_auto_send+tenant+auth+e2e,P2-S1,app.html,implement,P2-S1 maps notify to app.html under the approved Platform55 shell migration design
Home,globalsearch,Global Search,prototype_only,No cross-product search surface found in main,2,tenant_filtered_results+auth+e2e,P2-S1,app.html,implement,P2-S1 maps globalsearch to app.html under the approved Platform55 shell migration design
Home,askai,Ask AI,foundation_partial,business-intelligence AI features; interpretation memory,2,no_material_action+evidence_links+e2e,P2-S1,app.html,implement,P2-S1 maps askai to app.html under the approved Platform55 shell migration design
Platform,platform-lifecycle,Business Lifecycle,prototype_only,No first-class lifecycle control surface found,1,typed_states+immutable_receipt,P2-S1,app.html,shared_surface,P2-S1 maps platform-lifecycle to app.html under the approved Platform55 shell migration design
Platform,platform-backbone,Handoff Backbone,foundation_partial,Action Contract and governed Edge entrypoints,1,typed_handoff+no_direct_SOR_write,P2-S1,app.html,shared_surface,P2-S1 maps platform-backbone to app.html under the approved Platform55 shell migration design
Platform,platform-reliability,Reliability Center,foundation_partial,stability tests and deployment checks,1,live_telemetry+rollback+e2e,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#platform-reliability
Platform,platform-trust,Security & Trust,foundation_partial,Phase 0 tenant identity and Action Contract,1,tenant_isolation+auth+independent_review,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#platform-trust
Platform,control-plane,SaaS Control Plane,prototype_only,No tenant control-plane product surface found,1,tenant_isolation+entitlement_separation,P2-S5,settings.html,shared_surface,docs/release/evidence/2026-08-23-p2-s5-surface-candidate.json#control-plane
