route,page_key,access,family,visual_archetype,primary_reference,secondary_reference,current_baseline,parity_status,gap_summary,p3v_wave,verification
app.html,app,authenticated,Home,command-center,docs/platform55-visual-parity/baseline/reference-command-center-1440x900.png,docs/platform55-visual-parity/baseline/reference-operator-console-1920.png,docs/platform55-visual-parity/baseline/current-command-center-production-1129x904.png,partial,"Core composition is recognizable; proportions, density, typography rhythm, and component polish remain",P3-V1,unverified
upload-center.html,upload-center,authenticated,Operate,governed-operations,docs/platform55-visual-parity/baseline/reference-runtime-jobs-1920.png,source://rateware/2821_platform_import_migration_jobs_1920.png,docs/platform55-evidence/p2-s2/60eb7f341a09f6d65f4344b8606a9779c339712c/upload-center-loaded-1440x900.png,unscored,"Same-viewport reference comparison not yet performed",P3-V2,unverified
upload-history.html,upload-history,authenticated,Operate,governed-operations,docs/platform55-visual-parity/baseline/reference-runtime-jobs-1920.png,source://rateware/3799_platform_data_export_overview_1920.png,docs/platform55-evidence/p2-s2/60eb7f341a09f6d65f4344b8606a9779c339712c/upload-history-loaded-1440x900.png,unscored,"Same-viewport reference comparison not yet performed",P3-V2,unverified
staging-review.html,staging-review,authenticated,Operate,governed-review,docs/platform55-visual-parity/baseline/reference-operator-console-1920.png,docs/platform55-visual-parity/baseline/reference-runtime-jobs-1920.png,docs/platform55-evidence/p2-s2/60eb7f341a09f6d65f4344b8606a9779c339712c/staging-review-loaded-1440x900.png,unscored,"Human-review hierarchy and dense table composition require scoring",P3-V2,unverified
rateware.html,rateware,authenticated,Operate,governed-operations,docs/platform55-visual-parity/baseline/reference-runtime-jobs-1920.png,docs/platform55-visual-parity/baseline/reference-operator-console-1920.png,docs/platform55-visual-parity/baseline/current-rateware-production-1129x904.png,low,"Legacy chip rows, dense borders, weak context hierarchy, and table-first composition",P3-V1,unverified
business-intelligence.html,business-intelligence,authenticated,Analyze,intelligence-readiness,docs/platform55-visual-parity/baseline/reference-readiness-1920.png,source://rateware/4101_platform_readiness_ai_assist.png,docs/platform55-evidence/p2-s5/b78f73fbcba8cad7720bf329f9d65bd20746a147/business-intelligence-loaded-1440x900.png,unscored,"Evidence, gaps, charts, and recommendation hierarchy require scoring",P3-V5,unverified
growth-hacking.html,growth-hacking,authenticated,Analyze,intelligence-readiness,docs/platform55-visual-parity/baseline/reference-readiness-1920.png,source://rateware/4047_platform_readiness_dashboard.png,docs/platform55-evidence/p2-s5/b78f73fbcba8cad7720bf329f9d65bd20746a147/growth-hacking-loaded-1440x900.png,unscored,"Opportunity and growth evidence composition requires scoring",P3-V5,unverified
vendors.html,vendors,authenticated,Source,network-profile,source://rateware/2881_platform_service_360_overview_1920.png,docs/platform55-visual-parity/baseline/reference-service-catalog-1920.png,docs/platform55-evidence/p2-s3/6917246927a6a13e82abf9e1e84b00b27f172ab7/vendors-loaded-1440x900.png,unscored,"Carrier directory and 360 profile need one coherent Platform 55 profile system",P3-V3,unverified
shipper-crm.html,shipper-crm,authenticated,Source,network-profile,source://rateware/2881_platform_service_360_overview_1920.png,source://rateware/2906_platform_service_customer_safe_map_1920.png,docs/platform55-evidence/p2-s4/f4f86e1e67c395c41f400b070dbd1f4d120d55cb/shipper-crm-loaded-1440x900.png,unscored,"Customer master and progress hierarchy require scoring",P3-V4,unverified
rfx-process.html,rfx-process,authenticated,Source,procurement-lifecycle,source://rateware/build_05/rateware_procurement_carrier_network_build_v05.html,source://rateware/build_05/BUILD_05_RENDER_PLAN.json,docs/platform55-evidence/p2-s3/6917246927a6a13e82abf9e1e84b00b27f172ab7/rfx-process-loaded-1440x900.png,unscored,"Project identity, lifecycle, lane, award, and boundary composition require scoring",P3-V3,unverified
rfx-events.html,rfx-events,authenticated,Source,procurement-lifecycle,source://rateware/build_05/rateware_procurement_carrier_network_build_v05.html,source://rateware/build_05/BUILD_05_RENDER_PLAN.json,docs/platform55-evidence/p2-s3/6917246927a6a13e82abf9e1e84b00b27f172ab7/rfx-events-loaded-1440x900.png,unscored,"Bid-room list and event states require scoring",P3-V3,unverified
ratebook.html,ratebook,authenticated,Source,procurement-lifecycle,source://rateware/build_05/rateware_procurement_carrier_network_build_v05.html,docs/platform55-visual-parity/baseline/reference-runtime-jobs-1920.png,docs/platform55-evidence/p2-s3/6917246927a6a13e82abf9e1e84b00b27f172ab7/ratebook-loaded-1440x900.png,unscored,"Rate agreement and schedule workspace require scoring",P3-V3,unverified
outreach.html,outreach,authenticated,Source,procurement-communications,source://rateware/build_05/rateware_procurement_carrier_network_build_v05.html,docs/platform55-visual-parity/baseline/reference-operator-console-1920.png,docs/platform55-evidence/p2-s3/6917246927a6a13e82abf9e1e84b00b27f172ab7/outreach-loaded-1440x900.png,unscored,"Communication proposal and confirmation boundaries require scoring",P3-V3,unverified
vendor-support.html,vendor-support,authenticated,Service,network-service,source://rateware/4008_platform_operator_support_cases.png,source://rateware/2870_platform_service_support_routes_1920.png,docs/platform55-evidence/p2-s4/f4f86e1e67c395c41f400b070dbd1f4d120d55cb/vendor-support-loaded-1440x900.png,unscored,"Case, status, timeline, and action hierarchy require scoring",P3-V4,unverified
vendor-improvement.html,vendor-improvement,authenticated,Service,network-service,docs/platform55-visual-parity/baseline/reference-readiness-1920.png,source://rateware/3143_platform_implementation_security_support_readiness_1920.png,docs/platform55-evidence/p2-s4/f4f86e1e67c395c41f400b070dbd1f4d120d55cb/vendor-improvement-loaded-1440x900.png,unscored,"Performance, risk, and corrective-action composition require scoring",P3-V4,unverified
provider-service.html,provider-service,authenticated,Service,network-service,source://rateware/3187_platform_integration_runtime_overview_1920.png,docs/platform55-visual-parity/baseline/reference-service-catalog-1920.png,docs/platform55-evidence/p2-s4/f4f86e1e67c395c41f400b070dbd1f4d120d55cb/provider-service-loaded-1440x900.png,unscored,"Runtime, domain, release, and review panels require scoring",P3-V4,unverified
provider-onboarding.html,provider-onboarding,authenticated,Service,network-service,source://rateware/3248_platform_connection_setup_overview_1920.png,source://rateware/3127_platform_implementation_overview_1920.png,docs/platform55-evidence/p2-s4/f4f86e1e67c395c41f400b070dbd1f4d120d55cb/provider-onboarding-loaded-1440x900.png,unscored,"Connection steps, readiness, and compliance hierarchy require scoring",P3-V4,unverified
provider-gmail.html,provider-gmail,authenticated,Service,network-service,source://rateware/3187_platform_integration_runtime_overview_1920.png,docs/platform55-visual-parity/baseline/reference-operator-console-1920.png,docs/platform55-evidence/p2-s4/f4f86e1e67c395c41f400b070dbd1f4d120d55cb/provider-gmail-loaded-1440x900.png,unscored,"Read-only message operations require scoring",P3-V4,unverified
provider-communications.html,provider-communications,authenticated,Service,network-service,source://rateware/3187_platform_integration_runtime_overview_1920.png,docs/platform55-visual-parity/baseline/reference-operator-console-1920.png,docs/platform55-evidence/p2-s4/f4f86e1e67c395c41f400b070dbd1f4d120d55cb/provider-communications-loaded-1440x900.png,unscored,"Draft, evidence, review, and prohibited-action hierarchy require scoring",P3-V4,unverified
settings.html,settings,authenticated,Admin,administration-safe-actions,docs/platform55-visual-parity/baseline/reference-operator-console-1920.png,docs/platform55-visual-parity/baseline/reference-service-catalog-1920.png,docs/platform55-evidence/p2-s5/b78f73fbcba8cad7720bf329f9d65bd20746a147/settings-loaded-1440x900.png,unscored,"Governance tabs, scoped settings, safety posture, and audit evidence require scoring",P3-V5,unverified
interpretation-memory.html,interpretation-memory,authenticated,Admin,administration-safe-actions,docs/platform55-visual-parity/baseline/reference-service-catalog-1920.png,docs/platform55-visual-parity/baseline/reference-operator-console-1920.png,docs/platform55-evidence/p2-s5/b78f73fbcba8cad7720bf329f9d65bd20746a147/interpretation-memory-loaded-1440x900.png,unscored,"Rule catalog and review evidence require scoring",P3-V5,unverified
catalog-workbench.html,catalog-workbench,authenticated,Admin,administration-safe-actions,docs/platform55-visual-parity/baseline/reference-service-catalog-1920.png,source://rateware/3191_platform_connector_catalog_1920.png,docs/platform55-evidence/p2-s5/b78f73fbcba8cad7720bf329f9d65bd20746a147/catalog-workbench-loaded-1440x900.png,unscored,"Catalog registry, mapping, import, and governance hierarchy require scoring",P3-V5,unverified
bid-room-board.html,bid-room-board,public,Public,public-procurement,source://rateware/build_05/rateware_procurement_carrier_network_build_v05.html,source://rateware/build_05/BUILD_05_RENDER_PLAN.json,docs/platform55-evidence/p2-s3/6917246927a6a13e82abf9e1e84b00b27f172ab7/bid-room-board-loaded-1440x900.png,unscored,"Public board must match tokens without private shell controls",P3-V5,unverified
carrier-profile.html,carrier-profile,public,Public,public-profile,source://rateware/build_05/rateware_procurement_carrier_network_build_v05.html,source://rateware/2881_platform_service_360_overview_1920.png,docs/platform55-evidence/p2-s3/6917246927a6a13e82abf9e1e84b00b27f172ab7/carrier-profile-loaded-1440x900.png,unscored,"Public onboarding/profile state requires scoring",P3-V5,unverified
customer-rfi.html,customer-rfi,public,Public,public-procurement,source://rateware/build_05/rateware_procurement_carrier_network_build_v05.html,source://rateware/build_05/BUILD_05_RENDER_PLAN.json,docs/platform55-evidence/p2-s3/6917246927a6a13e82abf9e1e84b00b27f172ab7/customer-rfi-loaded-1440x900.png,unscored,"Public RFI context and form hierarchy require scoring",P3-V5,unverified
index.html,index,public_entry,Public,public-entry,docs/platform55-visual-parity/baseline/reference-command-center-1440x900.png,source://rateware/3986_platform_operator_home.png,docs/platform55-evidence/p2-s5/b78f73fbcba8cad7720bf329f9d65bd20746a147/index-loaded-1440x900.png,unscored,"Entry brand and routing states require scoring without private controls",P3-V5,unverified
ratebook-carrier.html,ratebook-carrier,public,Public,public-procurement,source://rateware/build_05/rateware_procurement_carrier_network_build_v05.html,docs/platform55-visual-parity/baseline/reference-runtime-jobs-1920.png,docs/platform55-evidence/p2-s3/6917246927a6a13e82abf9e1e84b00b27f172ab7/ratebook-carrier-loaded-1440x900.png,unscored,"Public ratebook table and status hierarchy require scoring",P3-V5,unverified
rfx-bid.html,rfx-bid,public,Public,public-procurement,source://rateware/build_05/rateware_procurement_carrier_network_build_v05.html,source://rateware/build_05/BUILD_05_RENDER_PLAN.json,docs/platform55-evidence/p2-s3/6917246927a6a13e82abf9e1e84b00b27f172ab7/rfx-bid-loaded-1440x900.png,unscored,"Public bid builder must retain functional controls and match public visual language",P3-V5,unverified
shipper-profile.html,shipper-profile,public,Public,public-profile,source://rateware/2906_platform_service_customer_safe_map_1920.png,source://rateware/2881_platform_service_360_overview_1920.png,docs/platform55-evidence/p2-s4/f4f86e1e67c395c41f400b070dbd1f4d120d55cb/shipper-profile-loaded-1440x900.png,unscored,"Public shipper profile and signed-out state require scoring",P3-V5,unverified
